Metric,0.3um Model,CO2 Model
R² Score,0.1080,0.3251
RMSE,896.9136,26.1013
MAE,521.3790,20.4224
Intercept,-37620.7800,-1074.6469
Vis (MI),111.222873,4.508558
Air Temp (F),40.106532,3.612382
Dewpoint (F),-11.858457,-5.450364
Rel Hum,4.920181,2.126392
Sea Level Pressure (MB),35.445801,1.297803
