0.3um,co2,date,time,weather_idx
961,620,2026-01-14,19.685555555555556,168
1363,573,2026-01-14,19.688333333333333,168
1236,537,2026-01-14,19.691111111111113,168
1207,503,2026-01-14,19.69388888888889,168
1214,484,2026-01-14,19.696666666666665,168
1180,468,2026-01-14,19.699444444444445,168
1201,459,2026-01-14,19.702222222222222,168
1268,453,2026-01-14,19.705,168
1238,449,2026-01-14,19.70777777777778,168
1180,444,2026-01-14,19.710555555555555,168
1128,444,2026-01-14,19.71333333333333,168
1088,443,2026-01-14,19.71611111111111,168
1125,442,2026-01-14,19.718888888888888,168
1150,441,2026-01-14,19.721666666666664,168
1203,441,2026-01-14,19.724444444444444,168
1098,440,2026-01-14,19.72722222222222,168
1246,440,2026-01-14,19.729999999999997,168
1224,440,2026-01-14,19.732777777777777,168
943,440,2026-01-14,19.735555555555557,168
867,440,2026-01-14,19.738333333333333,168
1027,439,2026-01-14,19.741111111111113,168
1150,439,2026-01-14,19.74388888888889,168
1353,438,2026-01-14,19.746666666666666,168
1259,438,2026-01-14,19.749444444444446,168
1172,438,2026-01-14,19.752222222222223,168
1074,439,2026-01-14,19.755,168
1099,441,2026-01-14,19.75777777777778,168
1165,442,2026-01-14,19.760555555555555,168
1163,443,2026-01-14,19.763333333333332,168
1114,443,2026-01-14,19.766111111111112,168
994,443,2026-01-14,19.76888888888889,168
984,443,2026-01-14,19.771666666666665,168
1076,443,2026-01-14,19.774444444444445,168
1165,442,2026-01-14,19.77722222222222,168
1197,442,2026-01-14,19.779999999999998,168
1164,442,2026-01-14,19.782777777777778,168
1251,441,2026-01-14,19.785555555555558,168
1254,439,2026-01-14,19.788333333333334,168
1263,438,2026-01-14,19.791111111111114,168
1386,437,2026-01-14,19.79388888888889,168
1401,436,2026-01-14,19.796666666666667,168
1312,437,2026-01-14,19.799444444444447,168
1354,438,2026-01-14,19.802222222222223,168
1346,438,2026-01-14,19.805,168
1362,438,2026-01-14,19.80777777777778,168
1437,438,2026-01-14,19.810555555555556,168
1233,438,2026-01-14,19.813333333333333,168
1279,437,2026-01-14,19.816111111111113,168
1215,437,2026-01-14,19.81888888888889,168
1149,437,2026-01-14,19.821666666666665,168
1227,436,2026-01-14,19.824444444444445,168
1249,435,2026-01-14,19.827222222222222,168
1195,435,2026-01-14,19.83,168
1090,435,2026-01-14,19.83277777777778,168
1062,436,2026-01-14,19.835555555555555,168
997,436,2026-01-14,19.83833333333333,168
1003,436,2026-01-14,19.84111111111111,168
1048,436,2026-01-14,19.843888888888888,168
1083,436,2026-01-14,19.846666666666664,168
1066,436,2026-01-14,19.849444444444444,168
1156,436,2026-01-14,19.852222222222224,168
1240,436,2026-01-14,19.855,168
1163,437,2026-01-14,19.85777777777778,168
1275,437,2026-01-14,19.860555555555557,168
1260,437,2026-01-14,19.863333333333333,168
1242,437,2026-01-14,19.866111111111113,168
1297,438,2026-01-14,19.86888888888889,168
1203,437,2026-01-14,19.871666666666666,168
1142,438,2026-01-14,19.874444444444446,168
1091,438,2026-01-14,19.877222222222223,168
