ms,UTC_timestamp,PM1.0,PM2.5,PM10.0,0.3um,0.5um,1.0um,2.5um,5.0um,10.0um,co2
10000,2026-1-9T17:44:07+00:00,5,7,8,957,299,24,1,1,0,442
20000,2026-1-9T17:44:17+00:00,5,7,7,957,305,26,0,0,0,426
30000,2026-1-9T17:44:27+00:00,5,6,6,932,298,26,0,0,0,411
40000,2026-1-9T17:44:37+00:00,5,5,5,900,285,17,0,0,0,402
50000,2026-1-9T17:44:47+00:00,4,5,5,867,276,19,0,0,0,395
60000,2026-1-9T17:44:57+00:00,3,4,4,786,253,17,0,0,0,390
70000,2026-1-9T17:45:07+00:00,4,4,4,782,242,22,1,0,0,386
80000,2026-1-9T17:45:17+00:00,5,6,6,903,285,30,1,0,0,383
90000,2026-1-9T17:45:27+00:00,5,6,6,847,276,26,0,0,0,381
100000,2026-1-9T17:45:37+00:00,4,5,5,810,262,22,0,0,0,380
110000,2026-1-9T17:45:47+00:00,4,5,5,829,258,25,1,0,0,381
120000,2026-1-9T17:45:57+00:00,5,6,6,862,269,17,0,0,0,384
130000,2026-1-9T17:46:07+00:00,3,3,3,729,231,9,0,0,0,385
140000,2026-1-9T17:46:17+00:00,3,3,4,720,221,14,0,0,0,386
150000,2026-1-9T17:46:27+00:00,4,5,6,827,259,28,1,1,1,385
160000,2026-1-9T17:46:37+00:00,4,4,4,763,247,21,0,0,0,384
170000,2026-1-9T17:46:47+00:00,4,4,4,780,250,16,0,0,0,384
180000,2026-1-9T17:46:57+00:00,4,5,5,834,269,24,0,0,0,385
190000,2026-1-9T17:47:07+00:00,4,4,4,783,247,20,0,0,0,385
200000,2026-1-9T17:47:17+00:00,4,5,5,824,261,26,0,0,0,385
210000,2026-1-9T17:47:27+00:00,5,6,7,876,279,23,1,1,1,385
220000,2026-1-9T17:47:37+00:00,5,6,6,873,278,20,0,0,0,384
230000,2026-1-9T17:47:47+00:00,5,6,6,864,279,24,0,0,0,384
240000,2026-1-9T17:47:57+00:00,5,6,6,854,270,19,0,0,0,383
250000,2026-1-9T17:48:07+00:00,5,6,7,886,281,33,0,0,0,382
260000,2026-1-9T17:48:17+00:00,5,7,8,990,319,46,1,1,1,380
270000,2026-1-9T17:48:27+00:00,6,8,8,1007,327,45,0,0,0,379
280000,2026-1-9T17:48:37+00:00,6,7,7,1019,331,41,0,0,0,378
290000,2026-1-9T17:48:47+00:00,6,8,8,1016,324,37,0,0,0,378
300000,2026-1-9T17:48:57+00:00,5,7,7,958,304,31,0,0,0,376
310000,2026-1-9T17:49:07+00:00,5,6,6,960,307,17,0,0,0,376
320000,2026-1-9T17:49:17+00:00,5,6,6,912,295,22,0,0,0,376
330000,2026-1-9T17:49:27+00:00,4,5,6,824,262,15,2,0,0,375
340000,2026-1-9T17:49:37+00:00,6,6,6,901,283,17,1,0,0,375
350000,2026-1-9T17:49:47+00:00,6,6,6,898,285,32,0,0,0,375
360000,2026-1-9T17:49:57+00:00,6,7,7,936,299,38,0,0,0,375
370000,2026-1-9T17:50:07+00:00,7,7,8,1088,344,33,0,0,0,375
380000,2026-1-9T17:50:17+00:00,5,7,8,1023,316,35,1,1,1,375
390000,2026-1-9T17:50:27+00:00,5,7,8,987,307,30,2,1,1,374
400000,2026-1-9T17:50:37+00:00,5,7,8,1022,323,28,1,1,1,375
410000,2026-1-9T17:50:47+00:00,5,7,8,969,303,25,2,0,0,375
420000,2026-1-9T17:50:57+00:00,4,7,8,896,278,35,3,0,0,376
430000,2026-1-9T17:51:07+00:00,5,6,6,941,295,33,0,0,0,379
440000,2026-1-9T17:51:17+00:00,4,5,5,878,277,29,0,0,0,380
450000,2026-1-9T17:51:27+00:00,5,6,6,891,285,24,0,0,0,381
460000,2026-1-9T17:51:37+00:00,4,5,5,873,279,15,0,0,0,381
470000,2026-1-9T17:51:47+00:00,4,4,5,799,256,14,2,2,0,381
480000,2026-1-9T17:51:57+00:00,5,6,6,869,278,19,0,0,0,380
490000,2026-1-9T17:52:07+00:00,6,7,7,1040,325,33,0,0,0,380
