UTC_timestamp,co2,0.3um,date,time,Wind (MPH),Vis (MI),Weather,Sky Cond,Air Temp (F),Dewpoint (F),6hr Max (F),6hr Min (F),Rel Hum,Wind Chill (F),Heat Index (F),Altimeter (IN),Sea Level Pressure (MB),Precip 1hr,Precip 3hr,Precip 6hr
2026-1-9T17:44:07+00:00,442,957,2026-01-09,17:54,S 16 G 24,10.0,Mostly Cloudy,BKN020 BKN140 BKN250,46.0,39.0,46.9,28.9,77%,40.0,,30.2,1022.7,,,
2026-1-9T17:44:17+00:00,426,957,2026-01-09,17:54,S 16 G 24,10.0,Mostly Cloudy,BKN020 BKN140 BKN250,46.0,39.0,46.9,28.9,77%,40.0,,30.2,1022.7,,,
2026-1-9T17:44:27+00:00,411,932,2026-01-09,17:54,S 16 G 24,10.0,Mostly Cloudy,BKN020 BKN140 BKN250,46.0,39.0,46.9,28.9,77%,40.0,,30.2,1022.7,,,
2026-1-9T17:44:37+00:00,402,900,2026-01-09,17:54,S 16 G 24,10.0,Mostly Cloudy,BKN020 BKN140 BKN250,46.0,39.0,46.9,28.9,77%,40.0,,30.2,1022.7,,,
2026-1-9T17:44:47+00:00,395,867,2026-01-09,17:54,S 16 G 24,10.0,Mostly Cloudy,BKN020 BKN140 BKN250,46.0,39.0,46.9,28.9,77%,40.0,,30.2,1022.7,,,
2026-1-9T17:44:57+00:00,390,786,2026-01-09,17:54,S 16 G 24,10.0,Mostly Cloudy,BKN020 BKN140 BKN250,46.0,39.0,46.9,28.9,77%,40.0,,30.2,1022.7,,,
2026-1-9T17:45:07+00:00,386,782,2026-01-09,17:54,S 16 G 24,10.0,Mostly Cloudy,BKN020 BKN140 BKN250,46.0,39.0,46.9,28.9,77%,40.0,,30.2,1022.7,,,
2026-1-9T17:45:17+00:00,383,903,2026-01-09,17:54,S 16 G 24,10.0,Mostly Cloudy,BKN020 BKN140 BKN250,46.0,39.0,46.9,28.9,77%,40.0,,30.2,1022.7,,,
2026-1-9T17:45:27+00:00,381,847,2026-01-09,17:54,S 16 G 24,10.0,Mostly Cloudy,BKN020 BKN140 BKN250,46.0,39.0,46.9,28.9,77%,40.0,,30.2,1022.7,,,
2026-1-9T17:45:37+00:00,380,810,2026-01-09,17:54,S 16 G 24,10.0,Mostly Cloudy,BKN020 BKN140 BKN250,46.0,39.0,46.9,28.9,77%,40.0,,30.2,1022.7,,,
