UTC_timestamp,co2,0.3um,Prevailing Wind Magnitude (MPH),Gust Wind Magnitude (MPH),Vis (MI),Cloud Height 1 (100s of ft),Cloud Height 2 (100s of ft),Cloud Height 3 (100s of ft),Cloud Height 4 (100s of ft),Air Temp (F),Dewpoint (F),6hr Max (F),6hr Min (F),Rel Hum,Wind Chill (F),Heat Index (F),Altimeter (IN),Sea Level Pressure (MB),Precip 1hr,Precip 3hr,Precip 6hr,cloud_code_1,cloud_code_2,cloud_code_3,cloud_code_4,prevailing_wind_dir_code,gust_wind_dir_code,weather_code
2026-1-9T17:48:57+00:00,376,958,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:49:07+00:00,376,960,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:49:17+00:00,376,912,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:49:27+00:00,375,824,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:49:37+00:00,375,901,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:49:47+00:00,375,898,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:49:57+00:00,375,936,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:50:07+00:00,375,1088,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:50:17+00:00,375,1023,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:50:27+00:00,374,987,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
