UTC_timestamp,co2,0.3um,Prevailing Wind Magnitude (MPH),Gust Wind Magnitude (MPH),Vis (MI),Cloud Height 1 (100s of ft),Cloud Height 2 (100s of ft),Cloud Height 3 (100s of ft),Cloud Height 4 (100s of ft),Air Temp (F),Dewpoint (F),6hr Max (F),6hr Min (F),Rel Hum,Wind Chill (F),Heat Index (F),Altimeter (IN),Sea Level Pressure (MB),Precip 1hr,Precip 3hr,Precip 6hr,cloud_code_1,cloud_code_2,cloud_code_3,cloud_code_4,prevailing_wind_dir_code,gust_wind_dir_code,weather_code
2026-1-12T20:47:08+00:00,590,450,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:47:18+00:00,544,656,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:47:28+00:00,501,287,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:47:38+00:00,476,251,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:47:48+00:00,455,241,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:47:58+00:00,444,209,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:48:08+00:00,435,164,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:48:18+00:00,430,194,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:48:28+00:00,427,232,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:48:38+00:00,424,282,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:48:48+00:00,423,517,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:48:58+00:00,422,1089,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:49:08+00:00,421,988,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:49:18+00:00,420,376,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:49:28+00:00,419,708,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:49:38+00:00,419,1637,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:49:48+00:00,417,1276,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:49:58+00:00,416,531,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:50:08+00:00,415,291,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:50:18+00:00,415,160,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:50:28+00:00,415,147,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:50:38+00:00,415,152,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:50:48+00:00,414,160,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
2026-1-12T20:50:58+00:00,414,191,12.0,21.0,10.0,45.0,150.0,,,37.9,19.0,,,46.0,31.0,,30.03,1016.8,,,,2,1,-1,-1,8,0,0
