ms,UTC_timestamp,PM1.0,PM2.5,PM10.0,0.3um,0.5um,1.0um,2.5um,5.0um,10.0um,co2,weather_idx
9999,2026-1-16T21:59:08+00:00,14,14,14,2816,790,1,0,0,0,516,218
19999,2026-1-16T21:59:18+00:00,3,3,3,762,209,2,0,0,0,485,218
29999,2026-1-16T21:59:28+00:00,0,0,0,160,50,2,1,0,0,458,218
39999,2026-1-16T21:59:38+00:00,0,0,0,159,49,2,1,0,0,439,218
49999,2026-1-16T21:59:48+00:00,0,0,0,114,34,2,1,0,0,425,218
59999,2026-1-16T21:59:58+00:00,0,0,1,126,38,1,1,1,0,416,218
69999,2026-1-16T22:00:08+00:00,0,0,0,131,41,3,0,0,0,409,218
79999,2026-1-16T22:00:18+00:00,0,0,0,116,37,3,0,0,0,404,218
89999,2026-1-16T22:00:28+00:00,0,0,0,129,41,1,0,0,0,401,218
99999,2026-1-16T22:00:38+00:00,0,0,0,168,48,0,0,0,0,398,218
109999,2026-1-16T22:00:48+00:00,0,0,0,199,59,1,1,0,0,397,218
119999,2026-1-16T22:00:58+00:00,0,0,0,210,65,2,0,0,0,396,218
129999,2026-1-16T22:01:08+00:00,0,0,0,176,55,1,0,0,0,394,218
139999,2026-1-16T22:01:18+00:00,0,0,0,185,60,2,0,0,0,394,218
149999,2026-1-16T22:01:28+00:00,0,0,1,149,49,2,1,1,0,394,218
159999,2026-1-16T22:01:38+00:00,0,0,0,109,33,1,0,0,0,393,218
169999,2026-1-16T22:01:48+00:00,0,0,0,172,48,2,0,0,0,392,218
179999,2026-1-16T22:01:58+00:00,0,0,0,181,51,2,0,0,0,391,218
189999,2026-1-16T22:02:08+00:00,0,0,0,116,33,1,0,0,0,391,218
199999,2026-1-16T22:02:18+00:00,0,0,0,156,47,2,0,0,0,390,218
209999,2026-1-16T22:02:28+00:00,0,0,0,147,44,4,0,0,0,389,218
219999,2026-1-16T22:02:38+00:00,0,0,0,167,49,4,0,0,0,388,218
229999,2026-1-16T22:02:48+00:00,0,0,0,153,44,3,0,0,0,388,218
239999,2026-1-16T22:02:58+00:00,0,0,0,157,47,2,0,0,0,387,218
249999,2026-1-16T22:03:08+00:00,0,0,0,155,48,1,0,0,0,385,218
259999,2026-1-16T22:03:18+00:00,0,0,0,116,38,0,0,0,0,386,218
269999,2026-1-16T22:03:28+00:00,0,0,0,123,39,0,0,0,0,386,218
279999,2026-1-16T22:03:38+00:00,0,0,0,171,55,1,0,0,0,386,218
289999,2026-1-16T22:03:48+00:00,0,0,0,156,50,0,0,0,0,385,218
299999,2026-1-16T22:03:58+00:00,0,0,0,112,35,0,0,0,0,384,218
309999,2026-1-16T22:04:08+00:00,0,0,0,117,36,0,0,0,0,384,218
319999,2026-1-16T22:04:18+00:00,0,0,0,141,41,2,0,0,0,385,218
329999,2026-1-16T22:04:28+00:00,0,0,0,141,42,5,0,0,0,386,218
339999,2026-1-16T22:04:38+00:00,0,0,0,149,44,3,0,0,0,386,218
349999,2026-1-16T22:04:48+00:00,0,0,0,129,40,1,0,0,0,388,218
359999,2026-1-16T22:04:58+00:00,0,0,0,123,36,3,0,0,0,389,218
369999,2026-1-16T22:05:08+00:00,0,0,0,129,35,1,0,0,0,390,218
379999,2026-1-16T22:05:18+00:00,0,0,0,102,31,0,0,0,0,389,218
389999,2026-1-16T22:05:28+00:00,0,0,0,127,40,0,0,0,0,389,218
399999,2026-1-16T22:05:38+00:00,0,0,0,156,45,1,0,0,0,388,218
409999,2026-1-16T22:05:48+00:00,0,0,0,165,47,0,0,0,0,388,218
419999,2026-1-16T22:05:58+00:00,0,0,0,199,56,0,0,0,0,390,218
429999,2026-1-16T22:06:08+00:00,0,0,0,198,58,0,0,0,0,391,218
439999,2026-1-16T22:06:18+00:00,0,0,0,165,50,2,1,0,0,391,218
449999,2026-1-16T22:06:28+00:00,0,0,0,138,38,2,0,0,0,392,218
459999,2026-1-16T22:06:38+00:00,0,0,0,116,30,2,0,0,0,392,218
469999,2026-1-16T22:06:48+00:00,0,0,0,88,24,1,0,0,0,392,218
479999,2026-1-16T22:06:58+00:00,0,0,0,153,43,2,0,0,0,392,218
489999,2026-1-16T22:07:08+00:00,0,0,0,237,63,1,0,0,0,392,218
499999,2026-1-16T22:07:18+00:00,0,0,0,322,61,1,0,0,0,391,218
509999,2026-1-16T22:07:28+00:00,0,0,0,306,62,2,0,0,0,391,218
519999,2026-1-16T22:07:38+00:00,1,1,1,702,119,3,0,0,0,390,218
529999,2026-1-16T22:07:48+00:00,3,3,3,1290,210,6,0,0,0,389,218
539999,2026-1-16T22:07:58+00:00,0,1,1,225,59,7,0,0,0,387,218
549999,2026-1-16T22:08:08+00:00,0,0,0,224,60,3,0,0,0,387,218
559999,2026-1-16T22:08:18+00:00,0,0,0,177,49,1,0,0,0,388,218
569999,2026-1-16T22:08:28+00:00,0,0,0,174,49,0,0,0,0,389,218
579999,2026-1-16T22:08:38+00:00,1,1,1,435,127,0,0,0,0,390,218
589999,2026-1-16T22:08:48+00:00,7,7,7,1379,427,1,0,0,0,391,218
599999,2026-1-16T22:08:58+00:00,23,25,26,4296,1312,5,0,0,0,391,218
609999,2026-1-16T22:09:08+00:00,25,28,30,4672,1439,7,0,0,0,391,218
619999,2026-1-16T22:09:18+00:00,19,21,21,3269,1019,3,0,0,0,392,218
629999,2026-1-16T22:09:28+00:00,19,20,20,3286,1024,6,1,0,0,392,218
639999,2026-1-16T22:09:38+00:00,21,23,23,3537,1106,9,0,0,0,392,218
649999,2026-1-16T22:09:48+00:00,25,29,30,4837,1444,5,0,0,0,392,218
659999,2026-1-16T22:09:58+00:00,39,46,54,9291,2801,0,0,0,0,392,218
669999,2026-1-16T22:10:08+00:00,36,43,50,8401,2525,5,1,0,0,392,218
679999,2026-1-16T22:10:18+00:00,53,54,65,13014,3841,7,1,0,0,393,218
689999,2026-1-16T22:10:28+00:00,35,42,48,8964,2519,6,1,0,0,393,218
699999,2026-1-16T22:10:38+00:00,64,66,72,17717,4914,6,0,0,0,393,218
709999,2026-1-16T22:10:48+00:00,48,51,57,13176,3621,3,0,0,0,394,218
719999,2026-1-16T22:10:58+00:00,26,31,34,5608,1647,7,0,0,0,394,218
729999,2026-1-16T22:11:08+00:00,0,1,1,178,58,7,0,0,0,395,218
739999,2026-1-16T22:11:18+00:00,0,0,0,116,36,3,0,0,0,395,218
749999,2026-1-16T22:11:28+00:00,0,0,0,94,28,0,0,0,0,395,218
759999,2026-1-16T22:11:38+00:00,0,0,0,225,66,1,0,0,0,395,218
769999,2026-1-16T22:11:48+00:00,1,1,1,267,73,1,0,0,0,395,218
779999,2026-1-16T22:11:58+00:00,0,0,0,139,34,0,0,0,0,395,218
789999,2026-1-16T22:12:08+00:00,0,0,0,131,37,1,0,0,0,396,218
799999,2026-1-16T22:12:18+00:00,0,0,0,151,41,2,0,0,0,396,218
809999,2026-1-16T22:12:28+00:00,0,0,0,220,46,0,0,0,0,396,218
819999,2026-1-16T22:12:38+00:00,0,0,1,254,56,2,1,1,1,396,218
829999,2026-1-16T22:12:48+00:00,0,0,3,166,48,4,3,3,3,396,218
839999,2026-1-16T22:12:58+00:00,0,0,1,103,27,1,1,1,1,397,218
849999,2026-1-16T22:13:08+00:00,0,0,0,129,33,0,0,0,0,397,218
859999,2026-1-16T22:13:18+00:00,0,0,0,144,42,2,0,0,0,396,218
869999,2026-1-16T22:13:28+00:00,0,0,1,178,59,6,1,0,0,397,218
879999,2026-1-16T22:13:38+00:00,0,0,0,162,53,3,0,0,0,397,218
889999,2026-1-16T22:13:48+00:00,0,0,0,159,50,0,0,0,0,397,218
899999,2026-1-16T22:13:58+00:00,0,0,0,149,46,1,0,0,0,397,218
909999,2026-1-16T22:14:08+00:00,0,0,0,88,28,0,0,0,0,397,218
919999,2026-1-16T22:14:18+00:00,0,0,0,111,35,0,0,0,0,397,218
929999,2026-1-16T22:14:28+00:00,0,0,0,123,39,1,0,0,0,397,218
939999,2026-1-16T22:14:38+00:00,0,0,0,130,39,1,0,0,0,397,218
949999,2026-1-16T22:14:48+00:00,0,0,0,134,39,2,0,0,0,397,218
959999,2026-1-16T22:14:58+00:00,0,0,0,164,46,2,0,0,0,397,218
969999,2026-1-16T22:15:08+00:00,0,0,0,160,46,4,0,0,0,397,218
979999,2026-1-16T22:15:18+00:00,0,0,0,148,45,4,0,0,0,397,218
989999,2026-1-16T22:15:28+00:00,0,0,0,167,51,1,0,0,0,397,218
999999,2026-1-16T22:15:38+00:00,0,0,0,139,43,1,0,0,0,397,218
1009999,2026-1-16T22:15:48+00:00,0,0,0,123,34,1,0,0,0,397,218
1019999,2026-1-16T22:15:58+00:00,0,0,0,168,47,0,0,0,0,397,218
1029999,2026-1-16T22:16:08+00:00,0,0,0,146,39,0,0,0,0,397,218
1039999,2026-1-16T22:16:18+00:00,0,0,0,137,40,0,0,0,0,398,218
1049999,2026-1-16T22:16:28+00:00,0,0,0,163,47,1,0,0,0,398,218
1059999,2026-1-16T22:16:38+00:00,0,0,0,176,50,1,0,0,0,398,218
1069999,2026-1-16T22:16:48+00:00,0,0,0,204,59,0,0,0,0,398,218
1079999,2026-1-16T22:16:58+00:00,0,0,0,204,63,3,0,0,0,398,218
1089999,2026-1-16T22:17:08+00:00,0,0,0,197,59,3,0,0,0,398,218
1099999,2026-1-16T22:17:18+00:00,0,0,0,149,41,3,0,0,0,397,218
1109999,2026-1-16T22:17:28+00:00,0,0,0,170,47,5,0,0,0,397,218
1119999,2026-1-16T22:17:38+00:00,0,0,0,171,49,4,0,0,0,397,218
1129999,2026-1-16T22:17:48+00:00,0,0,0,143,45,4,0,0,0,397,218
1139999,2026-1-16T22:17:58+00:00,0,0,0,170,53,3,0,0,0,397,218
1149999,2026-1-16T22:18:08+00:00,1,1,1,276,88,2,0,0,0,397,218
1159999,2026-1-16T22:18:18+00:00,1,1,2,364,111,2,1,1,0,397,218
1169999,2026-1-16T22:18:28+00:00,0,0,0,168,45,0,0,0,0,397,218
1179999,2026-1-16T22:18:38+00:00,0,0,0,122,28,0,0,0,0,397,218
1189999,2026-1-16T22:18:48+00:00,0,0,0,147,40,1,0,0,0,397,218
1199999,2026-1-16T22:18:58+00:00,0,0,0,134,40,3,1,0,0,397,218
1209999,2026-1-16T22:19:08+00:00,0,0,0,121,35,7,1,0,0,397,218
1219999,2026-1-16T22:19:18+00:00,0,0,1,180,52,6,1,1,1,397,218
1229999,2026-1-16T22:19:28+00:00,0,0,0,158,43,0,0,0,0,397,218
1239999,2026-1-16T22:19:38+00:00,0,0,0,105,28,1,0,0,0,397,218
1249999,2026-1-16T22:19:48+00:00,0,0,0,93,26,2,0,0,0,397,218
1259999,2026-1-16T22:19:58+00:00,0,0,1,128,41,2,1,1,1,397,218
1269999,2026-1-16T22:20:08+00:00,0,0,1,168,53,4,2,1,1,397,218
1279999,2026-1-16T22:20:18+00:00,0,0,0,156,47,2,1,0,0,397,218
1289999,2026-1-16T22:20:28+00:00,0,0,0,126,35,0,0,0,0,397,218
1299999,2026-1-16T22:20:38+00:00,0,0,0,104,29,1,0,0,0,397,218
1309999,2026-1-16T22:20:48+00:00,0,0,0,111,29,1,0,0,0,397,218
1319999,2026-1-16T22:20:58+00:00,0,0,0,134,36,1,0,0,0,397,218
1329999,2026-1-16T22:21:08+00:00,0,0,0,141,46,1,0,0,0,397,218
1339999,2026-1-16T22:21:18+00:00,0,0,0,140,46,0,0,0,0,397,218
1349999,2026-1-16T22:21:28+00:00,0,0,0,131,41,1,0,0,0,397,218
1359999,2026-1-16T22:21:38+00:00,0,0,0,101,31,0,0,0,0,397,218
1369999,2026-1-16T22:21:48+00:00,0,0,0,108,33,0,0,0,0,397,218
1379999,2026-1-16T22:21:58+00:00,0,0,0,150,45,2,0,0,0,397,218
1389999,2026-1-16T22:22:08+00:00,0,0,0,147,47,2,0,0,0,397,218
1399999,2026-1-16T22:22:18+00:00,0,0,0,128,42,0,0,0,0,397,218
1409999,2026-1-16T22:22:28+00:00,0,0,0,124,39,0,0,0,0,397,218
1419999,2026-1-16T22:22:38+00:00,0,0,0,129,41,1,0,0,0,397,218
1429999,2026-1-16T22:22:48+00:00,0,0,0,138,43,0,0,0,0,397,218
1439999,2026-1-16T22:22:58+00:00,0,0,0,129,40,0,0,0,0,397,218
1449999,2026-1-16T22:23:08+00:00,0,0,0,132,37,0,0,0,0,397,218
1459999,2026-1-16T22:23:18+00:00,0,0,0,137,40,1,0,0,0,397,218
1469999,2026-1-16T22:23:28+00:00,0,0,0,156,46,3,0,0,0,397,218
1479999,2026-1-16T22:23:38+00:00,0,0,0,260,66,2,0,0,0,397,218
1489999,2026-1-16T22:23:48+00:00,0,0,0,259,66,1,0,0,0,397,218
1499999,2026-1-16T22:23:58+00:00,0,0,0,293,82,3,0,0,0,397,218
1509999,2026-1-16T22:24:08+00:00,1,1,1,384,100,1,0,0,0,397,219
1519999,2026-1-16T22:24:18+00:00,1,1,1,470,106,1,0,0,0,397,219
1529999,2026-1-16T22:24:28+00:00,1,2,2,692,142,3,1,0,0,397,219
1539999,2026-1-16T22:24:38+00:00,1,1,1,595,121,1,0,0,0,397,219
1549999,2026-1-16T22:24:48+00:00,0,0,0,240,56,1,0,0,0,398,219
1559999,2026-1-16T22:24:58+00:00,0,0,0,111,32,0,0,0,0,398,219
