Metric,0.3um Model,CO2 Model
R² Score,0.8593,0.3247
RMSE,118.6705,3.9144
MAE,85.5245,2.9540
Intercept,-59054.7808,426.5250
Vis (MI),6.795947,-0.120800
Air Temp (F),-33.239432,-3.966229
Dewpoint (F),61.206137,3.192410
Rel Hum,-0.508728,-1.478761
Sea Level Pressure (MB),57.790448,0.139167
Precip 1hr,-3673.625838,38.542431
