UTC_timestamp,co2,0.3um,date,time,Wind (MPH),Vis (MI),Weather,Sky Cond,Air Temp (F),Dewpoint (F),6hr Max (F),6hr Min (F),Rel Hum,Wind Chill (F),Heat Index (F),Altimeter (IN),Sea Level Pressure (MB),Precip 1hr,Precip 3hr,Precip 6hr
2026-1-12T00:16:28+00:00,378,447,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:16:38+00:00,378,429,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:16:48+00:00,378,441,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:16:58+00:00,379,428,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:17:08+00:00,379,454,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:17:18+00:00,379,460,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:17:28+00:00,379,429,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:17:38+00:00,379,369,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:17:48+00:00,380,329,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:17:58+00:00,380,383,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:18:08+00:00,380,429,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:18:18+00:00,380,431,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:18:28+00:00,380,409,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:18:38+00:00,380,367,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:18:48+00:00,380,320,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:18:58+00:00,380,372,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
