ms,UTC_timestamp,latitude,longitude,altitude,temperature,pressure
9999,2025-12-27T20:30:08+00:00,,,,22.1,98705.180
19999,2025-12-27T20:30:18+00:00,,,,22.3,98701.117
29999,2025-12-27T20:30:28+00:00,,,,22.7,98705.165
39999,2025-12-27T20:30:38+00:00,,,,22.10,98700.78
49999,2025-12-27T20:30:48+00:00,,,,22.14,98702.67
59999,2025-12-27T20:30:58+00:00,,,,22.17,98697.226
69999,2025-12-27T20:31:08+00:00,,,,22.21,98704.106
79999,2025-12-27T20:31:18+00:00,,,,22.24,98702.231
89999,2025-12-27T20:31:28+00:00,,,,22.27,98695.74
99999,2025-12-27T20:31:38+00:00,,,,22.30,98696.189
109999,2025-12-27T20:31:48+00:00,,,,22.34,98698.68
119999,2025-12-27T20:31:58+00:00,,,,22.38,98698.133
129999,2025-12-27T20:32:08+00:00,,,,22.40,98701.143
139999,2025-12-27T20:32:18+00:00,,,,22.36,98697.31
149999,2025-12-27T20:32:28+00:00,,,,22.33,98700.249
159999,2025-12-27T20:32:38+00:00,,,,22.23,98707.238
169999,2025-12-27T20:32:48+00:00,,,,22.14,98703.13
179999,2025-12-27T20:32:58+00:00,,,,21.88,98703.153
189999,2025-12-27T20:33:08+00:00,,,,21.73,98700.243
199999,2025-12-27T20:33:18+00:00,,,,21.22,98708.63
209999,2025-12-27T20:33:28+00:00,,,,20.54,98728.65
219999,2025-12-27T20:33:38+00:00,,,,20.6,98731.160
229999,2025-12-27T20:33:48+00:00,,,,19.52,98735.254
239999,2025-12-27T20:33:58+00:00,,,,18.76,98734.96
249999,2025-12-27T20:34:08+00:00,,,,18.5,98748.211
259999,2025-12-27T20:34:18+00:00,,,,17.51,98745.110
269999,2025-12-27T20:34:28+00:00,,,,16.58,98748.60
279999,2025-12-27T20:34:38+00:00,,,,15.81,98754.187
289999,2025-12-27T20:34:48+00:00,,,,15.5,98756.123
299999,2025-12-27T20:34:58+00:00,,,,14.28,98755.243
309999,2025-12-27T20:35:08+00:00,,,,13.53,98758.48
319999,2025-12-27T20:35:18+00:00,,,,12.88,98758.23
329999,2025-12-27T20:35:28+00:00,,,,12.24,98759.1
339999,2025-12-27T20:35:38+00:00,,,,11.78,98762.8
349999,2025-12-27T20:35:48+00:00,,,,11.23,98764.232
359999,2025-12-27T20:35:58+00:00,,,,10.65,98769.54
369999,2025-12-27T20:36:08+00:00,,,,10.31,98770.105
379999,2025-12-27T20:36:18+00:00,,,,9.91,98766.252
389999,2025-12-27T20:36:28+00:00,,,,9.48,98767.11
399999,2025-12-27T20:36:38+00:00,,,,9.17,98773.203
409999,2025-12-27T20:36:48+00:00,,,,8.69,98771.0
419999,2025-12-27T20:36:58+00:00,,,,8.25,98775.138
429999,2025-12-27T20:37:08+00:00,,,,7.84,98772.96
439999,2025-12-27T20:37:18+00:00,,,,7.50,98777.138
449999,2025-12-27T20:37:28+00:00,,,,7.15,98776.222
459999,2025-12-27T20:37:38+00:00,,,,6.88,98779.121
469999,2025-12-27T20:37:48+00:00,,,,6.66,98781.85
479999,2025-12-27T20:37:58+00:00,,,,6.43,98780.147
489999,2025-12-27T20:38:08+00:00,,,,6.23,98787.228
499999,2025-12-27T20:38:18+00:00,,,,5.99,98780.116
509999,2025-12-27T20:38:28+00:00,,,,5.62,98784.83
519999,2025-12-27T20:38:38+00:00,,,,5.44,98783.30
529999,2025-12-27T20:38:48+00:00,,,,5.28,98781.76
539999,2025-12-27T20:38:58+00:00,,,,5.13,98788.149
549999,2025-12-27T20:39:08+00:00,,,,4.88,98791.110
559999,2025-12-27T20:39:18+00:00,,,,4.62,98785.69
569999,2025-12-27T20:39:28+00:00,,,,4.42,98786.204
579999,2025-12-27T20:39:38+00:00,,,,4.33,98789.139
589999,2025-12-27T20:39:48+00:00,,,,4.17,98789.2
599999,2025-12-27T20:39:58+00:00,,,,3.99,98790.221
609999,2025-12-27T20:40:08+00:00,,,,3.80,98789.90
619999,2025-12-27T20:40:18+00:00,,,,3.71,98789.94
629999,2025-12-27T20:40:28+00:00,,,,3.55,98794.44
639999,2025-12-27T20:40:38+00:00,,,,3.45,98794.9
649999,2025-12-27T20:40:48+00:00,,,,3.35,98791.34
659999,2025-12-27T20:40:58+00:00,,,,3.19,98793.17
669999,2025-12-27T20:41:08+00:00,,,,3.6,98790.32
679999,2025-12-27T20:41:18+00:00,,,,2.86,98797.77
689999,2025-12-27T20:41:28+00:00,,,,2.80,98790.78
699999,2025-12-27T20:41:38+00:00,,,,2.74,98799.5
709999,2025-12-27T20:41:48+00:00,,,,2.64,98797.41
719999,2025-12-27T20:41:58+00:00,,,,2.43,98793.196
729999,2025-12-27T20:42:08+00:00,,,,2.30,98797.224
