UTC_timestamp,co2,0.3um,date,time,Wind (MPH),Vis (MI),Weather,Sky Cond,Air Temp (F),Dewpoint (F),6hr Max (F),6hr Min (F),Rel Hum,Wind Chill (F),Heat Index (F),Altimeter (IN),Sea Level Pressure (MB),Precip 1hr,Precip 3hr,Precip 6hr
2026-1-8T21:44:48+00:00,287,629,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:44:58+00:00,287,591,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:45:08+00:00,287,510,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:45:18+00:00,287,602,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:45:28+00:00,288,686,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:45:38+00:00,290,615,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:45:48+00:00,290,602,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:45:58+00:00,290,693,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:46:08+00:00,290,618,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:46:18+00:00,290,537,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:46:28+00:00,291,549,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:46:38+00:00,291,550,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:46:48+00:00,290,566,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:46:58+00:00,290,568,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:47:08+00:00,290,570,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:47:18+00:00,289,658,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:47:28+00:00,290,733,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:47:38+00:00,289,591,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:47:48+00:00,289,474,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:47:58+00:00,289,517,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:48:08+00:00,289,574,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:48:18+00:00,289,563,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:48:28+00:00,289,498,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:48:38+00:00,288,517,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:48:48+00:00,289,575,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:48:58+00:00,289,546,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:49:08+00:00,289,592,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:49:18+00:00,289,570,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:49:28+00:00,289,579,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:49:38+00:00,290,520,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:49:48+00:00,289,498,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:49:58+00:00,289,620,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:50:08+00:00,289,575,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:50:18+00:00,289,549,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:50:28+00:00,289,580,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:50:38+00:00,289,616,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:50:48+00:00,290,612,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:50:58+00:00,289,597,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:51:08+00:00,289,703,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:51:18+00:00,289,720,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:51:28+00:00,289,687,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:51:38+00:00,290,579,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:51:48+00:00,290,524,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:51:57+00:00,290,558,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:52:07+00:00,290,611,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:52:17+00:00,290,624,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:52:27+00:00,290,626,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:52:37+00:00,290,600,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:52:47+00:00,291,589,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:52:57+00:00,290,589,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:53:07+00:00,290,658,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:53:17+00:00,290,652,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:53:27+00:00,291,684,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:53:37+00:00,291,760,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:53:47+00:00,291,708,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:53:57+00:00,290,618,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:54:07+00:00,290,673,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:54:17+00:00,291,757,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:54:27+00:00,290,687,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:54:37+00:00,289,579,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:54:47+00:00,289,627,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:54:57+00:00,290,624,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:55:07+00:00,290,524,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:55:17+00:00,290,517,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:55:27+00:00,290,502,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:55:37+00:00,290,481,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:55:47+00:00,290,541,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:55:57+00:00,290,639,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:56:07+00:00,289,697,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:56:17+00:00,289,708,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:56:27+00:00,289,693,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:56:37+00:00,289,726,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:56:47+00:00,289,708,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:56:57+00:00,289,613,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:57:07+00:00,290,592,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:57:17+00:00,290,559,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:57:27+00:00,290,539,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:57:37+00:00,290,613,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:57:47+00:00,290,659,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:57:57+00:00,290,615,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:58:07+00:00,290,649,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:58:17+00:00,290,689,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:58:27+00:00,290,580,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:58:37+00:00,290,537,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:58:47+00:00,290,556,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:58:57+00:00,291,540,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:59:07+00:00,290,518,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:59:17+00:00,290,492,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:59:27+00:00,290,581,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:59:37+00:00,289,689,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:59:47+00:00,289,691,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T21:59:57+00:00,289,562,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:00:07+00:00,289,592,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:00:17+00:00,289,688,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:00:27+00:00,289,609,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:00:37+00:00,288,536,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:00:47+00:00,288,560,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:00:57+00:00,288,553,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:01:07+00:00,288,529,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:01:17+00:00,288,556,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:01:27+00:00,288,624,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:01:37+00:00,288,647,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:01:47+00:00,400,622,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:01:57+00:00,400,579,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:02:07+00:00,400,567,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:02:17+00:00,400,564,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:02:27+00:00,400,567,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:02:37+00:00,401,596,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:02:47+00:00,401,543,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:02:57+00:00,401,529,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:03:07+00:00,400,570,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:03:17+00:00,401,546,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:03:27+00:00,400,576,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:03:37+00:00,400,636,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:03:47+00:00,400,578,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:03:57+00:00,400,606,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:04:07+00:00,400,600,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:04:17+00:00,399,481,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:04:27+00:00,399,519,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:04:37+00:00,398,515,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
2026-1-8T22:04:47+00:00,398,531,2026-01-08,21:54,W 9,10.0,A Few Clouds,FEW035 FEW250,43.0,30.9,,,63%,38.0,,30.21,1023.0,,,
