UTC_timestamp,co2,0.3um,date,time,Wind (MPH),Vis (MI),Weather,Sky Cond,Air Temp (F),Dewpoint (F),6hr Max (F),6hr Min (F),Rel Hum,Wind Chill (F),Heat Index (F),Altimeter (IN),Sea Level Pressure (MB),Precip 1hr,Precip 3hr,Precip 6hr
2026-1-14T19:41:08+00:00,620,961,,,,,,,,,,,,,,,,,,
2026-1-14T19:41:18+00:00,573,1363,,,,,,,,,,,,,,,,,,
2026-1-14T19:41:28+00:00,537,1236,,,,,,,,,,,,,,,,,,
2026-1-14T19:41:38+00:00,503,1207,,,,,,,,,,,,,,,,,,
2026-1-14T19:41:48+00:00,484,1214,,,,,,,,,,,,,,,,,,
2026-1-14T19:41:58+00:00,468,1180,,,,,,,,,,,,,,,,,,
2026-1-14T19:42:08+00:00,459,1201,,,,,,,,,,,,,,,,,,
2026-1-14T19:42:18+00:00,453,1268,,,,,,,,,,,,,,,,,,
2026-1-14T19:42:28+00:00,449,1238,,,,,,,,,,,,,,,,,,
2026-1-14T19:42:38+00:00,444,1180,,,,,,,,,,,,,,,,,,
2026-1-14T19:42:48+00:00,444,1128,,,,,,,,,,,,,,,,,,
2026-1-14T19:42:58+00:00,443,1088,,,,,,,,,,,,,,,,,,
2026-1-14T19:43:08+00:00,442,1125,,,,,,,,,,,,,,,,,,
2026-1-14T19:43:18+00:00,441,1150,,,,,,,,,,,,,,,,,,
2026-1-14T19:43:28+00:00,441,1203,,,,,,,,,,,,,,,,,,
2026-1-14T19:43:38+00:00,440,1098,,,,,,,,,,,,,,,,,,
2026-1-14T19:43:48+00:00,440,1246,,,,,,,,,,,,,,,,,,
2026-1-14T19:43:58+00:00,440,1224,,,,,,,,,,,,,,,,,,
2026-1-14T19:44:08+00:00,440,943,,,,,,,,,,,,,,,,,,
2026-1-14T19:44:18+00:00,440,867,,,,,,,,,,,,,,,,,,
2026-1-14T19:44:28+00:00,439,1027,,,,,,,,,,,,,,,,,,
2026-1-14T19:44:38+00:00,439,1150,,,,,,,,,,,,,,,,,,
2026-1-14T19:44:48+00:00,438,1353,,,,,,,,,,,,,,,,,,
2026-1-14T19:44:58+00:00,438,1259,,,,,,,,,,,,,,,,,,
2026-1-14T19:45:08+00:00,438,1172,,,,,,,,,,,,,,,,,,
2026-1-14T19:45:18+00:00,439,1074,,,,,,,,,,,,,,,,,,
2026-1-14T19:45:28+00:00,441,1099,,,,,,,,,,,,,,,,,,
2026-1-14T19:45:38+00:00,442,1165,,,,,,,,,,,,,,,,,,
2026-1-14T19:45:48+00:00,443,1163,,,,,,,,,,,,,,,,,,
2026-1-14T19:45:58+00:00,443,1114,,,,,,,,,,,,,,,,,,
2026-1-14T19:46:08+00:00,443,994,,,,,,,,,,,,,,,,,,
2026-1-14T19:46:18+00:00,443,984,,,,,,,,,,,,,,,,,,
2026-1-14T19:46:28+00:00,443,1076,,,,,,,,,,,,,,,,,,
2026-1-14T19:46:38+00:00,442,1165,,,,,,,,,,,,,,,,,,
2026-1-14T19:46:48+00:00,442,1197,,,,,,,,,,,,,,,,,,
2026-1-14T19:46:58+00:00,442,1164,,,,,,,,,,,,,,,,,,
2026-1-14T19:47:08+00:00,441,1251,,,,,,,,,,,,,,,,,,
2026-1-14T19:47:18+00:00,439,1254,,,,,,,,,,,,,,,,,,
2026-1-14T19:47:28+00:00,438,1263,,,,,,,,,,,,,,,,,,
2026-1-14T19:47:38+00:00,437,1386,,,,,,,,,,,,,,,,,,
2026-1-14T19:47:48+00:00,436,1401,,,,,,,,,,,,,,,,,,
2026-1-14T19:47:58+00:00,437,1312,,,,,,,,,,,,,,,,,,
2026-1-14T19:48:08+00:00,438,1354,,,,,,,,,,,,,,,,,,
2026-1-14T19:48:18+00:00,438,1346,,,,,,,,,,,,,,,,,,
2026-1-14T19:48:28+00:00,438,1362,,,,,,,,,,,,,,,,,,
2026-1-14T19:48:38+00:00,438,1437,,,,,,,,,,,,,,,,,,
2026-1-14T19:48:48+00:00,438,1233,,,,,,,,,,,,,,,,,,
2026-1-14T19:48:58+00:00,437,1279,,,,,,,,,,,,,,,,,,
2026-1-14T19:49:08+00:00,437,1215,,,,,,,,,,,,,,,,,,
2026-1-14T19:49:18+00:00,437,1149,,,,,,,,,,,,,,,,,,
2026-1-14T19:49:28+00:00,436,1227,,,,,,,,,,,,,,,,,,
2026-1-14T19:49:38+00:00,435,1249,,,,,,,,,,,,,,,,,,
2026-1-14T19:49:48+00:00,435,1195,,,,,,,,,,,,,,,,,,
2026-1-14T19:49:58+00:00,435,1090,,,,,,,,,,,,,,,,,,
2026-1-14T19:50:08+00:00,436,1062,,,,,,,,,,,,,,,,,,
2026-1-14T19:50:18+00:00,436,997,,,,,,,,,,,,,,,,,,
